n,t_us,dec,bin,hex,volts
0,564,1310,010100011110,0x51E,1.055678
1,2012,958,001110111110,0x3BE,0.772015
2,4015,564,001000110100,0x234,0.454505
3,6009,306,000100110010,0x132,0.246593
4,8011,217,000011011001,0x0D9,0.174872
5,10015,311,000100110111,0x137,0.250623
6,12010,576,001001000000,0x240,0.464176
7,14012,975,001111001111,0x3CF,0.785714
8,16007,1469,010110111101,0x5BD,1.183809
9,18009,2027,011111101011,0x7EB,1.633480
10,20010,2594,101000100010,0xA22,2.090403
11,22013,3100,110000011100,0xC1C,2.498168
12,24007,3494,110110100110,0xDA6,2.815678
13,27896,3824,111011110000,0xEF0,3.081612
14,28884,3809,111011100001,0xEE1,3.069524
15,30009,3744,111010100000,0xEA0,3.017143
16,32011,3490,110110100010,0xDA2,2.812454
17,34012,3095,110000010111,0xC17,2.494139
18,36011,2589,101000011101,0xA1D,2.086374
19,38012,2022,011111100110,0x7E6,1.629451
20,40012,1462,010110110110,0x5B6,1.178169
21,42008,959,001110111111,0x3BF,0.772820
22,44013,563,001000110011,0x233,0.453700
23,46014,309,000100110101,0x135,0.249011
24,48010,217,000011011001,0x0D9,0.174872
25,51194,444,000110111100,0x1BC,0.357802
26,52186,600,001001011000,0x258,0.483517
27,54011,967,001111000111,0x3C7,0.779267
28,56013,1472,010111000000,0x5C0,1.186227
29,58007,2029,011111101101,0x7ED,1.635092
30,60008,2595,101000100011,0xA23,2.091209
31,62010,3095,110000010111,0xC17,2.494139
32,64007,3497,110110101001,0xDA9,2.818095
33,66008,3761,111010110001,0xEB1,3.030843
34,68009,3839,111011111111,0xEFF,3.093700
35,70006,3750,111010100110,0xEA6,3.021978
36,72011,3488,110110100000,0xDA0,2.810842
37,74008,3101,110000011101,0xC1D,2.498974
38,76007,2595,101000100011,0xA23,2.091209
39,78007,2033,011111110001,0x7F1,1.638315
