n,t_us,dec,bin,hex,volts
0,568,3412,110101010100,0xD54,2.749597
1,1689,2910,101101011110,0xB5E,2.345055
2,2453,2525,100111011101,0x9DD,2.034799
3,3195,2115,100001000011,0x843,1.704396
4,4013,1659,011001111011,0x67B,1.336923
5,5014,1124,010001100100,0x464,0.905788
6,6007,693,001010110101,0x2B5,0.558461
7,7011,377,000101111001,0x179,0.303810
8,8011,229,000011100101,0x0E5,0.184542
9,9008,257,000100000001,0x101,0.207106
10,10013,459,000111001011,0x1CB,0.369890
11,11009,812,001100101100,0x32C,0.654359
12,12010,1285,010100000101,0x505,1.035531
13,15470,3148,110001001100,0xC4C,2.536850
14,16480,3519,110110111111,0xDBF,2.835824
15,17223,3707,111001111011,0xE7B,2.987326
16,17940,3804,111011011100,0xEDC,3.065495
17,18653,3814,111011100110,0xEE6,3.073553
18,19367,3734,111010010110,0xE96,3.009084
19,20081,3566,110111101110,0xDEE,2.873700
20,20787,3323,110011111011,0xCFB,2.677875
21,21502,3018,101111001010,0xBCA,2.432088
22,22219,2661,101001100101,0xA65,2.144396
23,23012,2225,100010110001,0x8B1,1.793040
24,24012,1661,011001111101,0x67D,1.338535
25,27236,327,000101000111,0x147,0.263516
26,28216,224,000011100000,0x0E0,0.180513
27,28957,251,000011111011,0x0FB,0.202271
28,29678,374,000101110110,0x176,0.301392
29,30400,581,001001000101,0x245,0.468205
30,31109,850,001101010010,0x352,0.684982
31,31827,1192,010010101000,0x4A8,0.960586
32,32541,1571,011000100011,0x623,1.266007
33,33279,1973,011110110101,0x7B5,1.589963
34,34009,2393,100101011001,0x959,1.928425
35,35015,2928,101101110000,0xB70,2.359560
36,36013,3362,110100100010,0xD22,2.709304
37,37011,3678,111001011110,0xE5E,2.963956
38,38010,3827,111011110011,0xEF3,3.084029
39,39011,3795,111011010011,0xED3,3.058242
